date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,108101376.2,28029,9669290000,0.250352,182992000,0,null,XRP
2017-12-02,47069028.94,24537,9874190000,0.255656,118250000,0,null,XRP
2017-12-03,46639283.72,24695,9869310000,0.25553,134710000,0,null,XRP
2017-12-04,65647497.45,26216,9768480000,0.252919,104650000,0,null,XRP
2017-12-05,112490109.6,29965,9815990000,0.253598,174591000,0,null,XRP
2017-12-06,175788923,36219,9507190000,0.245416,274526000,0,null,XRP
2017-12-07,1789273375,32358,9011630000,0.232623,275205000,0,null,XRP
2017-12-08,12198428260,35158,8663460000,0.223636,660172000,0,null,XRP
2017-12-09,103939489.3,29702,9768540000,0.252162,205289000,0,null,XRP
2017-12-10,97651160.14,21276,9512330000,0.245548,198174000,0,null,XRP
2017-12-11,92832544.17,24347,9164670000,0.236574,176101000,0,null,XRP
2017-12-12,233049226.2,34990,9772240000,0.252258,1555040000,0,null,XRP
2017-12-13,500271386.1,48312,14437600000,0.372689,2738760000,0,null,XRP
2017-12-14,767673110.3,83758,18232500000,0.470648,6358700000,0,null,XRP
2017-12-15,1968832639,82657,33383900000,0.86176,3194210000,0,null,XRP
2017-12-16,381235541.5,52537,29267100000,0.755493,1334770000,0,null,XRP
2017-12-17,263461712.3,52218,29214200000,0.754125,805200000,0,null,XRP
2017-12-18,600468606.8,56891,28203500000,0.728036,1342720000,0,null,XRP
2017-12-19,448648713,61541,30117600000,0.777447,1449670000,0,null,XRP
2017-12-20,475772311.5,58156,30494300000,0.787171,1007420000,0,null,XRP
2017-12-21,671015284.3,78147,30314000000,0.782515,3626110000,0,null,XRP
2017-12-22,872051807.3,77987,45189500000,1.17,4644700000,0,null,XRP
2017-12-23,376178229.1,58024,45167600000,1.17,1497590000,0,null,XRP
2017-12-24,261698682.4,42168,45541100000,1.18,754959000,0,null,XRP
2017-12-25,256163864.9,37359,40506000000,1.05,686014000,0,null,XRP
2017-12-26,297456072.7,37608,43455400000,1.12,938847000,0,null,XRP
2017-12-27,592202866.5,63774,45875700000,1.18,2854260000,0,null,XRP
2017-12-28,550775404.3,67160,53998200000,1.39,2843300000,0,null,XRP
2017-12-29,1656653116,108608,55767500000,1.44,7545740000,0,null,XRP
2017-12-30,1426566174,114645,85187400000,2.2,8108390000,0,null,XRP
2017-12-31,738672835.4,64844,81162600000,2.1,4642080000,0,null,XRP
2018-01-01,541495410.1,50779,88945900000,2.3,1894230000,0,null,XRP
2018-01-02,4813641088,71079,91791800000,2.37,3171010000,0,null,XRP
2018-01-03,990002544.9,98324,95457200000,2.46,6635880000,0,null,XRP
2018-01-04,1927069461,121276,1.21E+11,3.12,8103660000,0,null,XRP
2018-01-05,1648608899,125177,1.28E+11,3.3,6288500000,0,null,XRP
2018-01-06,2659764503,92750,1.17E+11,3.02,2777560000,0,null,XRP
2018-01-07,604829795,78515,1.20E+11,3.09,2395150000,0,null,XRP
2018-01-08,4865168468,84686,1.30E+11,3.36,3315260000,0,null,XRP
2018-01-09,1072736061,95356,94657500000,2.44,3694700000,0,null,XRP
2018-01-10,962525054.9,86853,82511000000,2.13,4833640000,0,null,XRP
2018-01-11,1389589162,78796,76711800000,1.98,6296120000,0,null,XRP
2018-01-12,918760873.7,55717,75172500000,1.94,3330810000,0,null,XRP
2018-01-13,754580471,52404,79469700000,2.05,2130170000,0,null,XRP
2018-01-14,663194604.5,41844,78195800000,2.02,1978200000,0,null,XRP
2018-01-15,2299059932,53869,71909400000,1.86,1838460000,0,null,XRP
2018-01-16,1126718198,70937,65018400000,1.68,5687960000,0,null,XRP
2018-01-17,860723577.1,66633,45854700000,1.18,7251210000,0,null,XRP
2018-01-18,425170368.3,58456,50577100000,1.31,9110440000,0,null,XRP
2018-01-19,1060059224,39989,61291900000,1.58,3697430000,0,null,XRP
2018-01-20,358038355.4,40426,60543000000,1.56,2346450000,0,null,XRP
2018-01-21,393191121.4,34088,61061900000,1.58,2840750000,0,null,XRP
2018-01-22,465586226.7,40442,53909800000,1.39,2642510000,0,null,XRP
2018-01-23,346208720.5,39433,52421300000,1.35,2977080000,0,null,XRP
2018-01-24,301261469.7,42078,52380100000,1.35,1853440000,0,null,XRP
2018-01-25,312519466.7,37857,52811100000,1.36,986068000,0,null,XRP
2018-01-26,500886159.1,36261,50706400000,1.31,2037570000,0,null,XRP
2018-01-27,245725214.2,26703,47180200000,1.22,689101000,0,null,XRP
2018-01-28,235551690.3,28291,47412500000,1.22,1327360000,0,null,XRP
2018-01-29,325057256.7,30034,54204300000,1.4,1073680000,0,null,XRP
2018-01-30,407211859.2,33106,51452400000,1.33,1134640000,0,null,XRP
2018-01-31,288369132.8,30543,43800800000,1.13,1264030000,0,null,XRP
2018-02-01,1434589539,34994,44971500000,1.16,1410420000,0,null,XRP
2018-02-02,675030564.6,44598,37473900000,0.960642,3529760000,0,null,XRP
2018-02-03,193838681.9,27038,34795900000,0.891992,1988960000,0,null,XRP
2018-02-04,176830335.6,22840,35631700000,0.913418,1190960000,0,null,XRP
2018-02-05,252581170.4,31168,32219400000,0.825943,1286180000,0,null,XRP
2018-02-06,291012519.9,37098,27506200000,0.705121,2361140000,0,null,XRP
2018-02-07,168294633.2,27775,30215600000,0.774576,1133370000,0,null,XRP
2018-02-08,149296759.6,16700,28447500000,0.729252,947315000,0,null,XRP
2018-02-09,232009167.3,30748,31095800000,0.79714,1690340000,0,null,XRP
2018-02-10,276050804.4,36859,36951500000,0.947251,4682010000,0,null,XRP
2018-02-11,242403739.7,21803,41635500000,1.07,2555310000,0,null,XRP
2018-02-12,336078918.6,21977,39262700000,1.01,1756290000,0,null,XRP
2018-02-13,183564155.6,21194,42119800000,1.08,921100000,0,null,XRP
2018-02-14,500584874,25080,40026500000,1.03,1457600000,0,null,XRP
2018-02-15,239718336.9,24967,44433600000,1.14,1188530000,0,null,XRP
2018-02-16,181727625.3,18949,44663300000,1.14,568339000,0,null,XRP
2018-02-17,130189343.4,21073,44370200000,1.14,1186730000,0,null,XRP
2018-02-18,3875275868,19404,46997500000,1.2,1113650000,0,null,XRP
2018-02-19,94465125.01,19366,43813300000,1.12,556304000,0,null,XRP
2018-02-20,195876077,24990,44648100000,1.14,806673000,0,null,XRP
2018-02-21,894702476.4,23559,42207600000,1.08,871526000,0,null,XRP
2018-02-22,842679254,22417,39487400000,1.01,889707000,0,null,XRP
2018-02-23,2666207860,20436,36441500000,0.934176,896404000,0,null,XRP
2018-02-24,289498301.2,17156,39003300000,0.997659,489920000,0,null,XRP
2018-02-25,93778517.34,13904,37217300000,0.951977,360271000,0,null,XRP
2018-02-26,122397031,18933,36893900000,0.943704,458613000,0,null,XRP
2018-02-27,110585626,18581,37503700000,0.959302,312713000,0,null,XRP
2018-02-28,191983877.7,18810,36932700000,0.944697,329530000,0,null,XRP
